name,count
빛나라은수,2774020
다시첫사랑,2164711
KBS9시뉴스,1974712
사랑이오네요,1923605
정글의법칙 동티모르,1700122
TV소설-저하늘에태양이,1465402
인간극장,1407700
미운우리새끼다시쓰는육아일기,1338876
6시내고향,1297810
언제나봄날,1282419
궁금한이야기Y,1051985
KBS뉴스7,1193296
아침마당,844976
JTBC뉴스룸,1424147
썰전,1407469
나는자연인이다,978270
이규연의스포트라이트,808355
이제만나러갑니다,720972
쓸쓸하고찬란하신도깨비,1343436
삼시세끼어촌편3,1138685
코미디빅리그,378382
막돼먹은영애씨15,299611
뉴스리뷰2부,285752
뇌섹시대문제적남자,274046
SNL코리아,273502
뉴스와이드,272036
연합뉴스TV뉴스,240018
김선영의뉴스나이트,229970
월계수양복점신사들,3853775
낭만닥터김사부,2943233
푸른바다의전설,2376078
해피선데이,2108000
다시첫사랑,2058247
K팝스타더라스타찬스,2012415
불어라미풍아,1819799
우리갑순이,1798415
미스터리음악쇼복면가왕,1779687
무한도전,1738838
그것이알고싶다,1751478
순간포착,1620208
전국노래자랑,1598840
